ProximityToWaterBody,Elevation,Rainfall,Vegetation,Urbanization,Soil,Drainage,Slope,StormFrequency,Wetlands,Deforestation,Season,Infrastructure,Encroachment,FloodRisk
Close to Stream,20,910,Sparse,Low,Rocky,Moderate,Steep,Rare,Absent,Severe,Rainy,Strong,Moderate,Medium
Moderately Close to Dam,158,209,None,Low,Sandy,Moderate,Moderate,Occasional,Absent,None,Transition,Moderate,Moderate,Low
Far from Stream,200,663,None,Medium,Sandy,Good,Steep,Rare,Present,Moderate,Dry,Weak,Moderate,Low
Close to Lagoon,279,490,Dense,Low,Loamy,Moderate,Moderate,Rare,Absent,Severe,Rainy,Moderate,None,Low
Far from Lagoon,188,598,Dense,High,Sandy,Moderate,Moderate,Rare,Absent,None,Rainy,Strong,Severe,Low
Moderately Close to Stream,79,799,Dense,High,Rocky,Moderate,Steep,Frequent,Present,Moderate,Transition,Weak,Moderate,Medium
Very Far from River,159,585,Moderate,Low,Rocky,Good,Flat,Rare,Absent,Severe,Transition,Strong,Moderate,Low
Close to Dam,190,688,Dense,Low,Sandy,Good,Flat,Occasional,Present,None,Transition,Strong,None,None
Far from Lake,17,640,Moderate,High,Clay,Poor,Moderate,Occasional,Present,Moderate,Rainy,Weak,Moderate,Medium
Moderately Close to Dam,127,525,None,Medium,Clay,Moderate,Moderate,Occasional,Absent,Severe,Rainy,Strong,Severe,High
Moderately Close to River,50,195,Sparse,Medium,Sandy,Moderate,Moderate,Occasional,Absent,None,Transition,Moderate,None,Low
Far from Stream,10,860,Dense,Low,Clay,Poor,Steep,Occasional,Present,Moderate,Transition,Weak,Moderate,Low
Very Close to River,281,19,Moderate,Low,Loamy,Poor,Flat,Frequent,Present,None,Rainy,Moderate,Severe,Low
Very Close to Lake,42,932,Dense,Medium,Clay,Poor,Flat,Occasional,Present,Severe,Rainy,Strong,Moderate,High
Far from Lake,97,144,Dense,High,Loamy,Good,Moderate,Frequent,Absent,None,Rainy,Moderate,Moderate,Low
Very Close to Stream,41,323,Dense,Low,Clay,Poor,Moderate,Frequent,Present,Severe,Rainy,Weak,None,Medium
Very Close to Lagoon,159,371,None,High,Rocky,Moderate,Moderate,Frequent,Absent,Moderate,Transition,Strong,Severe,Medium
Close to Lake,196,256,Sparse,High,Loamy,Poor,Flat,Frequent,Absent,None,Rainy,Strong,Moderate,Medium
Very Close to Dam,29,196,None,High,Loamy,Poor,Moderate,Occasional,Absent,Severe,Rainy,Strong,None,High
Very Far from Dam,259,358,None,High,Sandy,Moderate,Moderate,Occasional,Present,None,Rainy,Weak,None,Low
Far from Stream,261,620,Dense,High,Rocky,Poor,Flat,Occasional,Present,Moderate,Transition,Strong,Severe,Low
Close to Lagoon,103,273,Dense,High,Clay,Poor,Steep,Frequent,Absent,Moderate,Rainy,Weak,Moderate,Medium
Moderately Close to Lake,191,107,None,High,Loamy,Moderate,Steep,Rare,Present,Moderate,Dry,Moderate,Severe,Low
Close to River,97,871,None,High,Rocky,Poor,Moderate,Rare,Present,Moderate,Dry,Moderate,Moderate,Medium
Very Far from Stream,15,809,None,Low,Rocky,Moderate,Steep,Occasional,Present,Severe,Rainy,Strong,Severe,Medium
Very Far from Lagoon,183,25,Sparse,High,Sandy,Moderate,Flat,Occasional,Absent,None,Dry,Weak,Moderate,Low
Close to River,194,987,Moderate,High,Loamy,Moderate,Moderate,Frequent,Present,None,Transition,Weak,Moderate,Medium
Moderately Close to Stream,44,289,Dense,Low,Loamy,Good,Flat,Rare,Absent,None,Rainy,Strong,Severe,Low
Moderately Close to Lagoon,231,422,Moderate,Medium,Rocky,Moderate,Moderate,Frequent,Present,None,Transition,Moderate,Moderate,Low
Moderately Close to Stream,145,844,Sparse,Low,Sandy,Good,Flat,Occasional,Present,Moderate,Dry,Moderate,Severe,Medium
Very Far from Lagoon,140,30,Moderate,Low,Loamy,Moderate,Flat,Frequent,Absent,None,Transition,Moderate,None,Low
Moderately Close to Dam,109,670,Sparse,Medium,Loamy,Poor,Steep,Frequent,Present,Severe,Rainy,Weak,Moderate,High
Far from Stream,134,139,Dense,Medium,Loamy,Good,Flat,Rare,Present,None,Rainy,Weak,Moderate,Low
Far from Stream,112,914,Moderate,Low,Sandy,Moderate,Flat,Rare,Absent,Severe,Dry,Strong,Severe,Medium
Very Close to River,208,125,Sparse,Low,Rocky,Moderate,Flat,Frequent,Absent,Severe,Dry,Strong,Severe,Medium
Close to Lagoon,19,267,None,Low,Loamy,Good,Steep,Frequent,Present,None,Transition,Moderate,None,Low
Very Close to Stream,71,95,Sparse,Low,Clay,Moderate,Moderate,Rare,Absent,Severe,Rainy,Moderate,None,Medium
Very Far from Stream,83,419,Moderate,Low,Sandy,Moderate,Moderate,Frequent,Absent,Moderate,Rainy,Moderate,None,Low
Very Close to Stream,41,790,None,High,Rocky,Good,Flat,Frequent,Present,Severe,Rainy,Moderate,None,High
Far from Lake,210,241,None,High,Clay,Moderate,Steep,Rare,Absent,Moderate,Dry,Strong,None,Low
Very Far from River,191,681,Dense,Medium,Sandy,Moderate,Flat,Occasional,Absent,None,Dry,Strong,Severe,Low
Very Close to Lake,138,269,Sparse,Medium,Sandy,Moderate,Moderate,Rare,Present,Severe,Transition,Strong,Severe,Medium
Far from River,155,737,Dense,High,Sandy,Good,Steep,Rare,Present,Severe,Rainy,Weak,Severe,Low
Very Far from Stream,8,267,Sparse,High,Rocky,Good,Steep,Occasional,Absent,Moderate,Transition,Moderate,None,Low
Very Close to Stream,185,217,Dense,Low,Sandy,Good,Steep,Frequent,Absent,None,Rainy,Moderate,Severe,Low
Very Far from Lake,237,59,Dense,Low,Sandy,Good,Steep,Frequent,Present,Moderate,Rainy,Weak,Moderate,Low
Very Far from Lagoon,76,962,Dense,Low,Clay,Moderate,Moderate,Frequent,Absent,None,Transition,Weak,Severe,Medium
Very Far from River,107,790,Sparse,High,Clay,Poor,Steep,Frequent,Present,None,Rainy,Weak,Severe,Medium
Far from Dam,174,3,Dense,High,Rocky,Moderate,Steep,Frequent,Present,None,Rainy,Moderate,None,Low
Very Far from River,256,141,Sparse,High,Clay,Moderate,Moderate,Occasional,Present,Severe,Dry,Moderate,None,Low
Very Far from Lagoon,173,215,None,Low,Rocky,Poor,Flat,Frequent,Present,Severe,Transition,Strong,Moderate,Low
Close to River,227,271,Moderate,Medium,Rocky,Poor,Flat,Frequent,Absent,None,Rainy,Strong,Severe,Medium
Moderately Close to Stream,52,305,None,Medium,Clay,Poor,Moderate,Rare,Absent,Moderate,Transition,Strong,Moderate,Medium
Far from Lake,167,249,Moderate,Low,Rocky,Moderate,Steep,Rare,Absent,Severe,Rainy,Moderate,Severe,Low
Close to River,298,682,Dense,Medium,Loamy,Moderate,Steep,Occasional,Present,None,Rainy,Weak,None,Low
Very Far from River,142,437,None,Low,Rocky,Poor,Moderate,Occasional,Present,Severe,Transition,Moderate,None,Low
Far from Lagoon,52,939,Sparse,Medium,Clay,Moderate,Steep,Frequent,Present,Moderate,Dry,Weak,Severe,Medium
Far from Lagoon,74,552,Dense,High,Rocky,Good,Steep,Occasional,Absent,None,Transition,Weak,Severe,Low
Very Far from Lake,172,73,Dense,High,Sandy,Poor,Steep,Rare,Absent,None,Dry,Weak,Moderate,Low
Moderately Close to River,225,842,None,Low,Clay,Moderate,Steep,Rare,Absent,None,Rainy,Moderate,None,Low
Very Close to Stream,266,453,Moderate,Low,Clay,Moderate,Moderate,Rare,Absent,None,Rainy,Strong,None,Low
Very Far from Lake,294,74,Dense,High,Sandy,Good,Flat,Frequent,Present,Severe,Rainy,Strong,Moderate,Low
Very Far from Lagoon,69,220,Sparse,Medium,Loamy,Good,Flat,Occasional,Present,Severe,Dry,Weak,Severe,Medium
Moderately Close to Stream,248,746,Moderate,Low,Rocky,Poor,Moderate,Rare,Present,None,Transition,Weak,Moderate,Low
Very Far from Lake,55,911,Dense,Medium,Rocky,Moderate,Steep,Frequent,Present,Severe,Dry,Strong,Severe,Medium
Close to River,168,367,Sparse,Medium,Loamy,Moderate,Moderate,Frequent,Present,Moderate,Transition,Strong,None,Low
Very Far from Stream,149,27,Sparse,High,Rocky,Good,Steep,Occasional,Present,Moderate,Transition,Weak,Severe,Low
Very Far from Dam,91,479,Sparse,Medium,Clay,Poor,Flat,Occasional,Present,None,Rainy,Strong,Severe,Medium
Far from Lagoon,90,485,Dense,Medium,Clay,Poor,Moderate,Occasional,Absent,Severe,Dry,Strong,Moderate,Medium
Very Far from Stream,295,34,Dense,Low,Rocky,Good,Steep,Rare,Present,Severe,Transition,Moderate,Moderate,None
Far from Dam,280,471,Sparse,Low,Loamy,Poor,Flat,Occasional,Absent,Severe,Transition,Strong,Severe,Medium
Far from Dam,266,5,None,Low,Loamy,Poor,Flat,Frequent,Absent,Severe,Transition,Weak,None,Medium
Close to Lake,233,233,Dense,Medium,Rocky,Moderate,Steep,Rare,Absent,Severe,Rainy,Moderate,Severe,Low
Very Close to Lake,218,594,Dense,Low,Loamy,Moderate,Steep,Occasional,Present,Moderate,Transition,Weak,Moderate,Low
Far from Dam,135,325,Dense,Low,Loamy,Poor,Flat,Rare,Present,Severe,Dry,Weak,None,Low
Close to Stream,11,506,None,High,Loamy,Moderate,Steep,Frequent,Absent,None,Dry,Weak,Severe,Medium
Close to Dam,128,140,Moderate,High,Sandy,Good,Moderate,Occasional,Present,None,Transition,Strong,Severe,Low
Very Close to River,184,153,Moderate,High,Loamy,Moderate,Moderate,Frequent,Absent,Severe,Dry,Moderate,Moderate,Medium
Far from Dam,50,253,Moderate,Medium,Loamy,Moderate,Moderate,Frequent,Present,Severe,Transition,Moderate,Severe,Low
Far from Lake,86,398,Dense,Medium,Loamy,Poor,Steep,Frequent,Absent,None,Dry,Weak,Moderate,Low
Moderately Close to Lake,217,425,None,Medium,Sandy,Poor,Flat,Rare,Present,None,Transition,Strong,None,Low
Very Far from Lagoon,143,208,Dense,High,Sandy,Moderate,Steep,Occasional,Absent,Moderate,Rainy,Moderate,Moderate,Low
Very Close to River,94,702,Moderate,Low,Clay,Good,Steep,Frequent,Present,Moderate,Transition,Strong,Severe,Low
Moderately Close to Lake,220,448,Sparse,High,Loamy,Moderate,Flat,Occasional,Absent,None,Dry,Strong,Severe,Medium
Far from River,266,304,Dense,Medium,Loamy,Good,Steep,Occasional,Present,None,Transition,Moderate,None,None
Moderately Close to Lake,99,18,None,High,Clay,Poor,Flat,Rare,Present,Moderate,Dry,Strong,Severe,Medium
Moderately Close to Lake,248,509,Dense,High,Sandy,Moderate,Flat,Occasional,Present,Severe,Rainy,Strong,Severe,Medium
Very Close to Stream,150,252,Sparse,Medium,Sandy,Moderate,Flat,Occasional,Present,None,Rainy,Weak,Moderate,Medium
Moderately Close to Dam,7,374,None,Medium,Loamy,Poor,Flat,Rare,Absent,Severe,Transition,Moderate,Moderate,Medium
Very Far from Lagoon,178,810,Moderate,High,Loamy,Good,Steep,Occasional,Absent,Moderate,Transition,Weak,Severe,Low
Very Far from Dam,103,725,None,Medium,Clay,Moderate,Flat,Rare,Absent,Moderate,Transition,Weak,Severe,Medium
Close to River,243,708,None,Medium,Loamy,Poor,Steep,Occasional,Present,None,Dry,Strong,Moderate,Low
Very Close to Lagoon,155,515,Moderate,Low,Sandy,Good,Steep,Frequent,Present,Severe,Rainy,Weak,Severe,Medium
Close to Lake,166,793,Dense,Low,Rocky,Moderate,Flat,Rare,Present,None,Dry,Moderate,None,Low
Moderately Close to River,296,962,Moderate,High,Sandy,Moderate,Flat,Rare,Absent,Severe,Transition,Strong,Moderate,Medium
Very Far from Dam,277,603,Moderate,Low,Clay,Poor,Steep,Frequent,Absent,None,Dry,Moderate,None,Low
Close to Lake,142,227,None,Medium,Rocky,Poor,Moderate,Frequent,Absent,Severe,Transition,Weak,Moderate,High
Very Close to Dam,262,961,Sparse,High,Clay,Poor,Steep,Rare,Present,Severe,Dry,Strong,Moderate,Medium
Moderately Close to Stream,274,959,Moderate,Medium,Clay,Good,Flat,Occasional,Absent,None,Rainy,Strong,Moderate,Low
Close to Dam,185,940,Sparse,Medium,Sandy,Good,Moderate,Frequent,Absent,None,Dry,Strong,None,Low
Moderately Close to River,91,635,Dense,High,Rocky,Good,Steep,Occasional,Absent,Severe,Rainy,Strong,Moderate,Medium
Very Far from Dam,248,574,Sparse,Medium,Clay,Poor,Steep,Rare,Present,Moderate,Rainy,Weak,None,Low
Very Far from River,251,261,Sparse,High,Loamy,Poor,Steep,Frequent,Present,None,Transition,Weak,Moderate,Low
Very Close to River,94,289,None,Low,Clay,Good,Flat,Frequent,Absent,None,Rainy,Moderate,Moderate,Medium
Moderately Close to River,93,959,None,Medium,Rocky,Poor,Steep,Rare,Present,Moderate,Dry,Moderate,Severe,Medium
Very Close to Lagoon,256,717,Moderate,Medium,Rocky,Poor,Moderate,Rare,Present,Severe,Transition,Strong,Moderate,Medium
Far from Stream,157,929,Moderate,High,Clay,Moderate,Steep,Occasional,Present,Moderate,Dry,Moderate,Severe,Low
Very Far from River,5,658,Dense,Medium,Clay,Moderate,Moderate,Frequent,Present,Severe,Rainy,Moderate,Severe,Medium
Moderately Close to Lake,282,466,Moderate,Low,Loamy,Poor,Flat,Occasional,Present,None,Rainy,Weak,None,Low
Moderately Close to Lagoon,291,954,Moderate,High,Rocky,Good,Steep,Rare,Absent,Moderate,Rainy,Weak,Severe,Medium
Close to River,191,234,Dense,Low,Loamy,Poor,Flat,Rare,Present,Severe,Rainy,Strong,Severe,Low
Moderately Close to River,226,289,Moderate,Medium,Clay,Poor,Steep,Rare,Present,None,Transition,Weak,None,Low
Moderately Close to River,143,710,None,Medium,Sandy,Poor,Flat,Occasional,Absent,Severe,Transition,Weak,Severe,High
Moderately Close to Lagoon,207,941,None,High,Sandy,Good,Steep,Rare,Absent,Severe,Rainy,Strong,Moderate,Medium
Far from Stream,35,671,Dense,Medium,Rocky,Moderate,Flat,Occasional,Present,Moderate,Dry,Moderate,Severe,Medium
Very Close to Dam,268,857,Dense,Low,Clay,Poor,Moderate,Rare,Absent,Moderate,Rainy,Moderate,None,Medium
Close to Lagoon,99,109,None,Low,Rocky,Moderate,Steep,Occasional,Present,None,Rainy,Strong,Moderate,Low
Close to Stream,121,611,Moderate,Low,Clay,Poor,Flat,Frequent,Absent,None,Transition,Strong,None,Low
Very Close to Lagoon,51,869,Sparse,Medium,Loamy,Moderate,Moderate,Occasional,Present,None,Rainy,Strong,Severe,Medium
Very Close to Stream,16,468,Dense,High,Rocky,Poor,Moderate,Frequent,Absent,None,Dry,Moderate,Severe,Medium
Very Close to Lake,204,968,None,Low,Clay,Good,Moderate,Rare,Absent,Moderate,Transition,Weak,Severe,Medium
Very Close to Lagoon,277,425,Dense,Low,Clay,Good,Steep,Rare,Present,Moderate,Rainy,Strong,None,Low
Very Close to Lagoon,300,0,Sparse,High,Sandy,Good,Moderate,Frequent,Present,Severe,Rainy,Strong,Moderate,Medium
Far from Lake,17,541,None,Medium,Clay,Moderate,Flat,Rare,Absent,None,Rainy,Weak,Severe,Medium
Far from Lagoon,147,869,Moderate,Medium,Loamy,Poor,Steep,Frequent,Present,None,Transition,Strong,Moderate,Low
Very Close to Dam,269,11,None,Medium,Sandy,Good,Steep,Rare,Present,Severe,Rainy,Moderate,None,Low
Very Far from Stream,143,571,Dense,High,Sandy,Good,Moderate,Rare,Present,Moderate,Transition,Strong,None,Low
Far from Dam,19,544,Dense,High,Clay,Moderate,Moderate,Rare,Absent,Moderate,Transition,Weak,None,Medium
Far from River,83,951,Moderate,High,Rocky,Good,Steep,Frequent,Absent,Moderate,Transition,Weak,Moderate,Medium
Close to River,123,66,None,Low,Loamy,Good,Moderate,Occasional,Present,None,Rainy,Strong,None,Low
Very Close to Stream,126,235,None,High,Clay,Good,Steep,Rare,Absent,None,Transition,Strong,Moderate,Low
Very Close to River,139,623,Dense,High,Sandy,Moderate,Flat,Rare,Absent,Severe,Transition,Moderate,None,Medium
Very Close to River,291,455,Dense,Low,Clay,Good,Flat,Occasional,Absent,Severe,Rainy,Weak,Moderate,Medium
Very Far from River,264,912,Sparse,High,Rocky,Good,Moderate,Rare,Absent,Severe,Rainy,Weak,Severe,Medium
Very Far from Stream,8,856,Moderate,Low,Clay,Good,Flat,Occasional,Present,Severe,Transition,Moderate,Severe,Low
Close to Lagoon,113,333,Dense,Low,Clay,Moderate,Moderate,Frequent,Present,None,Rainy,Weak,Moderate,Low
Close to Lagoon,86,344,Moderate,High,Rocky,Moderate,Flat,Frequent,Absent,Moderate,Dry,Moderate,Moderate,Medium
Very Close to River,230,660,None,High,Clay,Good,Moderate,Frequent,Present,None,Dry,Strong,Severe,Medium
Moderately Close to River,162,316,Dense,Low,Rocky,Poor,Moderate,Rare,Present,None,Rainy,Strong,Severe,Low
Very Far from River,172,293,Dense,High,Rocky,Good,Moderate,Occasional,Absent,Moderate,Transition,Strong,Severe,Low
Close to Stream,262,2,Dense,Low,Loamy,Moderate,Flat,Rare,Absent,None,Rainy,Moderate,None,Low
Very Far from Dam,151,26,Dense,Medium,Rocky,Good,Flat,Frequent,Present,Severe,Rainy,Weak,Severe,Medium
Moderately Close to Dam,22,339,None,High,Rocky,Poor,Steep,Rare,Absent,None,Transition,Moderate,Moderate,Medium
Moderately Close to Lake,108,881,Dense,High,Rocky,Poor,Flat,Occasional,Absent,Moderate,Dry,Moderate,None,Medium
Moderately Close to River,86,245,Moderate,Low,Rocky,Poor,Moderate,Occasional,Absent,None,Transition,Weak,None,Low
Close to Dam,86,902,Moderate,High,Clay,Good,Flat,Frequent,Present,None,Dry,Moderate,None,Low
Very Close to Stream,18,275,Moderate,Low,Sandy,Good,Steep,Frequent,Present,Moderate,Transition,Moderate,None,Low
Close to Stream,138,791,None,High,Loamy,Good,Flat,Rare,Absent,Moderate,Transition,Moderate,None,Medium
Close to Lagoon,213,109,None,High,Clay,Moderate,Moderate,Rare,Present,Moderate,Transition,Strong,Severe,Medium
Close to Stream,104,87,None,Low,Rocky,Poor,Flat,Rare,Present,Severe,Transition,Weak,Severe,Medium
Very Far from Lake,155,991,Sparse,Medium,Sandy,Moderate,Moderate,Rare,Absent,Moderate,Transition,Strong,Moderate,Low
Moderately Close to River,299,203,Dense,Low,Rocky,Good,Steep,Occasional,Absent,Severe,Dry,Strong,None,None
Moderately Close to River,227,251,Dense,Low,Sandy,Good,Steep,Frequent,Present,Severe,Dry,Strong,None,None
Moderately Close to Lake,274,76,Dense,High,Loamy,Good,Steep,Frequent,Present,Moderate,Transition,Weak,Severe,Low
Far from Dam,175,594,Moderate,High,Sandy,Good,Steep,Frequent,Present,Severe,Transition,Moderate,Severe,Low
Moderately Close to Stream,243,44,Dense,High,Sandy,Good,Steep,Occasional,Absent,Moderate,Transition,Weak,Moderate,Low
Moderately Close to Lake,104,384,Dense,High,Rocky,Good,Steep,Occasional,Absent,Moderate,Dry,Moderate,Severe,Low
Close to Dam,35,558,Sparse,Medium,Clay,Moderate,Flat,Frequent,Present,None,Dry,Moderate,Moderate,Medium
Very Close to Lake,74,1,Moderate,Low,Rocky,Moderate,Moderate,Occasional,Absent,Moderate,Rainy,Moderate,Moderate,Low
Close to Lagoon,204,771,Moderate,Medium,Loamy,Good,Steep,Rare,Absent,Severe,Dry,Strong,None,Low
Very Far from Lagoon,54,340,Sparse,Low,Clay,Moderate,Flat,Rare,Absent,Severe,Dry,Moderate,Severe,Low
Moderately Close to Stream,189,888,None,High,Loamy,Moderate,Moderate,Frequent,Absent,Severe,Dry,Moderate,None,Medium
Very Close to River,205,975,None,Medium,Rocky,Good,Flat,Occasional,Present,Severe,Dry,Strong,Severe,Medium
Far from River,57,225,Sparse,Medium,Loamy,Poor,Moderate,Occasional,Absent,Severe,Rainy,Strong,Moderate,Medium
Moderately Close to Lake,290,264,Sparse,Low,Loamy,Poor,Steep,Occasional,Absent,None,Rainy,Strong,Moderate,Low
Very Close to River,44,36,Sparse,Medium,Rocky,Poor,Flat,Frequent,Present,None,Dry,Moderate,Severe,Medium
Very Far from River,268,398,Moderate,High,Rocky,Good,Steep,Frequent,Present,Severe,Dry,Strong,None,Low
Far from Stream,121,742,Sparse,Low,Rocky,Good,Steep,Occasional,Absent,Moderate,Dry,Strong,Moderate,Low
Far from Stream,148,568,Sparse,Low,Rocky,Moderate,Steep,Occasional,Absent,None,Dry,Strong,Moderate,Low
Far from Dam,104,642,Sparse,High,Clay,Moderate,Steep,Occasional,Present,Moderate,Transition,Moderate,Moderate,Low
Far from Lagoon,259,689,Moderate,Medium,Sandy,Moderate,Flat,Frequent,Absent,Moderate,Dry,Moderate,None,Low
Very Close to Lagoon,119,102,Dense,High,Loamy,Good,Steep,Rare,Present,Severe,Transition,Strong,Severe,Low
Moderately Close to Lagoon,70,266,None,High,Rocky,Good,Steep,Frequent,Present,Moderate,Transition,Strong,Severe,Medium
Very Close to Stream,223,96,Dense,Medium,Clay,Moderate,Moderate,Frequent,Present,Moderate,Dry,Strong,Moderate,Low
Far from River,107,326,Moderate,Low,Sandy,Poor,Moderate,Occasional,Present,Moderate,Transition,Strong,None,Low
Very Far from Lagoon,188,530,Moderate,High,Sandy,Poor,Flat,Occasional,Absent,Severe,Rainy,Strong,None,Medium
Very Far from Stream,296,605,Sparse,Medium,Clay,Poor,Steep,Rare,Present,None,Dry,Moderate,Severe,Low
Far from Lagoon,286,713,None,High,Rocky,Poor,Steep,Rare,Present,Moderate,Dry,Strong,Moderate,Low
Very Close to River,38,401,None,Medium,Sandy,Good,Flat,Rare,Present,Moderate,Transition,Weak,Moderate,Medium
Far from Dam,96,187,Moderate,Medium,Rocky,Good,Moderate,Frequent,Absent,Severe,Rainy,Moderate,Severe,Medium
Very Far from Stream,121,224,Moderate,Low,Clay,Good,Steep,Occasional,Present,Moderate,Dry,Moderate,Severe,None
Very Close to River,67,261,None,Medium,Sandy,Good,Moderate,Occasional,Absent,Severe,Transition,Weak,Severe,Medium
Moderately Close to Lake,194,533,Dense,High,Sandy,Good,Flat,Frequent,Present,Moderate,Rainy,Weak,Severe,Medium
Moderately Close to River,139,296,Sparse,Low,Clay,Poor,Flat,Frequent,Present,None,Transition,Moderate,Moderate,Low
Very Close to Lake,243,546,Moderate,Medium,Sandy,Moderate,Flat,Rare,Absent,Severe,Rainy,Weak,Severe,Medium
Close to Lake,189,981,Sparse,High,Sandy,Good,Steep,Frequent,Present,Severe,Rainy,Moderate,Severe,Medium
Far from Lake,24,84,None,Low,Clay,Poor,Steep,Rare,Absent,None,Rainy,Weak,Severe,Medium
Close to Lake,18,693,Dense,High,Sandy,Poor,Steep,Occasional,Present,Severe,Rainy,Strong,Severe,Medium
Far from Stream,285,124,Sparse,High,Clay,Good,Steep,Occasional,Present,None,Dry,Moderate,Moderate,None
Very Close to Lake,240,852,Dense,Low,Loamy,Moderate,Moderate,Frequent,Absent,Moderate,Rainy,Weak,Moderate,Medium
Very Close to River,244,681,Dense,Low,Loamy,Poor,Moderate,Rare,Absent,None,Transition,Strong,Moderate,Low
Close to Lake,78,290,None,Low,Rocky,Good,Flat,Frequent,Present,Moderate,Dry,Weak,Moderate,Medium
Very Close to Lagoon,170,894,None,High,Clay,Good,Steep,Rare,Absent,Severe,Transition,Moderate,Severe,Medium
